GRAFO
60 240
55 48 5
32 48 8
27 32 19
7 32 17
11 48 4
10 7 8
44 27 19
13 32 7
15 48 8
24 44 2
38 13 9
5 55 14
9 32 16
49 32 19
52 49 12
25 52 20
57 11 13
28 44 18
4 25 12
20 5 15
36 27 3
59 44 19
14 32 18
16 13 11
46 59 8
53 48 6
0 48 15
54 20 6
56 49 4
3 11 15
19 54 7
8 54 2
58 28 8
17 10 20
6 11 13
31 58 8
40 17 9
45 36 12
37 55 9
39 37 12
33 28 1
18 37 16
26 10 20
12 54 17
50 4 2
47 31 6
1 19 15
30 40 15
2 14 4
51 4 8
29 57 14
43 58 1
35 14 18
42 49 17
22 33 13
34 49 3
41 43 14
23 18 15
21 49 10
31 21 18
14 9 19
56 29 6
20 12 18
50 26 6
35 50 5
52 45 14
7 27 5
54 36 12
21 35 10
27 9 11
12 19 7
16 42 10
18 27 7
8 53 10
54 7 15
15 36 19
52 44 19
30 24 14
59 17 11
55 24 16
58 36 20
5 40 19
43 15 12
22 13 18
11 43 13
30 14 11
59 14 5
24 23 9
45 32 14
17 42 15
58 42 2
34 15 6
47 14 18
47 5 16
5 22 19
3 17 5
45 13 15
8 47 6
12 45 4
16 35 15
36 10 18
38 10 2
26 33 14
40 50 8
11 36 19
17 34 11
53 31 19
46 47 18
54 17 17
8 56 11
55 53 10
39 50 7
11 14 7
31 33 11
33 2 4
40 14 3
37 49 20
54 58 1
23 28 7
4 57 19
22 45 2
43 17 8
50 12 14
23 9 12
56 46 14
49 38 5
31 49 17
25 29 14
39 13 12
14 37 9
34 1 17
7 24 13
26 14 1
14 50 5
30 56 11
19 28 13
3 47 11
59 16 6
6 45 17
14 57 4
35 57 16
47 17 9
33 23 7
11 51 7
39 43 20
21 36 15
2 5 12
53 19 12
30 22 7
51 45 12
0 21 2
59 21 6
4 17 3
44 17 3
31 20 3
41 56 13
9 28 16
32 26 9
22 41 1
26 13 8
28 53 6
58 22 6
44 38 7
58 39 3
10 48 10
52 37 13
23 47 6
39 7 8
54 11 10
14 8 12
41 48 12
38 47 13
31 22 7
13 57 11
42 31 14
53 2 3
22 37 17
50 37 4
30 47 1
24 5 1
46 21 3
57 47 4
5 15 15
17 16 6
58 57 3
41 26 6
28 52 14
1 51 19
40 19 6
52 18 17
13 49 15
15 7 5
35 19 6
59 5 20
43 56 16
32 12 12
20 33 12
24 42 20
20 7 3
34 30 11
13 31 5
38 53 19
27 37 18
26 0 1
13 52 7
25 53 13
34 20 13
22 14 20
34 37 8
35 13 10
3 28 9
15 59 18
31 34 17
22 27 16
18 43 7
54 5 19
5 41 15
1 3 16
30 4 18
21 42 3
35 28 5
14 38 2
12 41 12
19 30 2
24 8 8
56 28 17
29 49 19
2 51 14
21 40 13
50 5 15
9 22 8
1 58 1
3 22 1
47 15 12
11 46 13
31 55 3
8 11 7
22 25 16
35 12 1
37 46 8

LOCAIS
LAB 32
ESTADIO 13
PMC 2
GINASIO 50 26 36 25 7 5 45 6

POPULACAO
TREINADORES 5
POKEMON 16
ITENS 10
OVOS 5

EVOLUCOES
Bulbasaur Ivysaur Venusaur
Charmander Charmeleon Charizard
Squirtle Wartortle Blastoise
Pikachu Raichu
Geodude Graveler Golem
Gastly Haunter Gengar
Magikarp Gyarados
Abra Kadabra Alakazam
